Var	-LOG([Fdr (Pdat Gx)])	Model	Value	-LOG([Fdr (Pdat Gx)])	Model	Value	Var
ZZZ3	0.29666401	Bulk (unadjusted)	0.278286908	0.868740847	Cell contribution (adjusted)	0.74729063	ZZZ3
ZZEF1	0.188859751	Bulk (unadjusted)	0.408477508	0.006079613	Cell contribution (adjusted)	0.015355899	ZZEF1
ZYX	0.170084298	Bulk (unadjusted)	0.541098413	0.070521799	Cell contribution (adjusted)	0.171116037	ZYX
ZYG11B	0.294830184	Bulk (unadjusted)	-0.498316024	0.006079613	Cell contribution (adjusted)	0.008840256	ZYG11B
ZYG11A	0.010228006	Bulk (unadjusted)	0.020794981	0.965087232	Cell contribution (adjusted)	-0.533302147	ZYG11A
ZXDC	0.178908017	Bulk (unadjusted)	-0.632885453	0.080726203	Cell contribution (adjusted)	-0.331747885	ZXDC
ZXDB	1.13378159	Bulk (unadjusted)	-0.797089904	0.550168384	Cell contribution (adjusted)	-0.380794259	ZXDB
ZXDA	0.456439556	Bulk (unadjusted)	-0.620852759	0.132416619	Cell contribution (adjusted)	-0.171761749	ZXDA
ZWINT	5.850256703	Bulk (unadjusted)	1.540802625	2.18414724	Cell contribution (adjusted)	1.451403812	ZWINT
ZWILCH	0.901967757	Bulk (unadjusted)	0.901388264	2.278738938	Cell contribution (adjusted)	0.955714839	ZWILCH
ZW10	0.159960577	Bulk (unadjusted)	0.314342994	0.602343039	Cell contribution (adjusted)	0.971234176	ZW10
ZSWIM8	0.070083165	Bulk (unadjusted)	-0.315906468	0.746075446	Cell contribution (adjusted)	-0.749518279	ZSWIM8
ZSWIM7	0.609305744	Bulk (unadjusted)	0.423443793	1.212254641	Cell contribution (adjusted)	0.608308323	ZSWIM7
ZSWIM6	0.155821686	Bulk (unadjusted)	0.183598686	0.590615117	Cell contribution (adjusted)	1.151264764	ZSWIM6
ZSWIM5	0.767850208	Bulk (unadjusted)	-0.950974594	0.260470253	Cell contribution (adjusted)	-0.492344597	ZSWIM5
ZSWIM4	0.841326061	Bulk (unadjusted)	-0.635043223	0.969100322	Cell contribution (adjusted)	-0.673377234	ZSWIM4
ZSWIM3	0.755749105	Bulk (unadjusted)	0.476837525	0.058282309	Cell contribution (adjusted)	0.074104214	ZSWIM3
ZSWIM2	0.073530991	Bulk (unadjusted)	0.106062763	0.082653223	Cell contribution (adjusted)	-0.097812513	ZSWIM2
ZSWIM1	0.007585665	Bulk (unadjusted)	-0.034706826	0.443376252	Cell contribution (adjusted)	-0.461968574	ZSWIM1
ZSCAN32	0.218062974	Bulk (unadjusted)	0.229079981	0.193093281	Cell contribution (adjusted)	0.391087209	ZSCAN32
ZSCAN31	0.481391617	Bulk (unadjusted)	-0.37026669	0.014704887	Cell contribution (adjusted)	0.049126076	ZSCAN31
ZSCAN30	0.065220606	Bulk (unadjusted)	-0.251625623	0.006079613	Cell contribution (adjusted)	0.022493015	ZSCAN30
ZSCAN29	0.386670667	Bulk (unadjusted)	-0.325388089	1.11800155	Cell contribution (adjusted)	-0.581833963	ZSCAN29
ZSCAN26	0.8824794	Bulk (unadjusted)	-0.519241399	0.023877535	Cell contribution (adjusted)	0.081827348	ZSCAN26
ZSCAN25	1.096405031	Bulk (unadjusted)	-0.96687248	0.265931483	Cell contribution (adjusted)	-0.540261521	ZSCAN25
ZSCAN23	0.752161565	Bulk (unadjusted)	-0.475347668	0.622379707	Cell contribution (adjusted)	-0.410846849	ZSCAN23
ZSCAN22	0.075985671	Bulk (unadjusted)	-0.208900619	0.023575132	Cell contribution (adjusted)	-0.083490856	ZSCAN22
ZSCAN21	2.793134548	Bulk (unadjusted)	-0.972154569	1.555253856	Cell contribution (adjusted)	-0.700796323	ZSCAN21
ZSCAN20	0.004823853	Bulk (unadjusted)	0.018093034	0.012764589	Cell contribution (adjusted)	-0.026968238	ZSCAN20
ZSCAN18	1.181562686	Bulk (unadjusted)	-1.482896363	0.460455431	Cell contribution (adjusted)	-0.655474087	ZSCAN18
ZSCAN16	0.066442524	Bulk (unadjusted)	0.182098689	0.002403751	Cell contribution (adjusted)	0.005020546	ZSCAN16
ZSCAN12	0.103893409	Bulk (unadjusted)	0.261612015	0.069457254	Cell contribution (adjusted)	0.153190214	ZSCAN12
ZSCAN10	0.003880155	Bulk (unadjusted)	-0.009158191	0.397548778	Cell contribution (adjusted)	-0.311588217	ZSCAN10
ZSCAN9	0.976788514	Bulk (unadjusted)	0.549006571	0.664199887	Cell contribution (adjusted)	0.426246105	ZSCAN9
ZSCAN5A	0.379950063	Bulk (unadjusted)	-0.327926565	0.360401515	Cell contribution (adjusted)	-0.291887167	ZSCAN5A
ZSCAN4	0.252974917	Bulk (unadjusted)	-0.294418263	0.053522862	Cell contribution (adjusted)	0.097497802	ZSCAN4
ZSCAN2	0.754311384	Bulk (unadjusted)	-0.770579424	2.397392343	Cell contribution (adjusted)	-0.89230982	ZSCAN2
ZSCAN1	0.391490096	Bulk (unadjusted)	-1.040106148	0.41071217	Cell contribution (adjusted)	-0.89178776	ZSCAN1
ZRSR2	2.487123967	Bulk (unadjusted)	0.910049275	0.020373592	Cell contribution (adjusted)	-0.07600958	ZRSR2
ZRANB3	0.030681161	Bulk (unadjusted)	-0.053689648	0.059549646	Cell contribution (adjusted)	-0.134062746	ZRANB3
ZRANB2	0.381643289	Bulk (unadjusted)	-0.32443872	0.134245203	Cell contribution (adjusted)	-0.144270587	ZRANB2
ZRANB1	0.409015472	Bulk (unadjusted)	-0.626693488	0.059615635	Cell contribution (adjusted)	-0.075559638	ZRANB1
ZPR1	0.035647885	Bulk (unadjusted)	0.124326865	0.216552544	Cell contribution (adjusted)	-0.294068793	ZPR1
ZPLD1	0.185855839	Bulk (unadjusted)	-0.206683728	0.015362229	Cell contribution (adjusted)	-0.038393465	ZPLD1
ZPBP2	0.111418733	Bulk (unadjusted)	0.230946736	0.065549395	Cell contribution (adjusted)	0.081666304	ZPBP2
ZPBP	0.925306323	Bulk (unadjusted)	-0.533748998	0.280761287	Cell contribution (adjusted)	-0.272381747	ZPBP
ZP4	0.079139725	Bulk (unadjusted)	0.194017111	0.02215664	Cell contribution (adjusted)	0.051665163	ZP4
ZP3	1.956574948	Bulk (unadjusted)	-1.016942073	1.803260968	Cell contribution (adjusted)	-0.960364459	ZP3
ZP2	0.014664128	Bulk (unadjusted)	-0.029183315	0.169501631	Cell contribution (adjusted)	-0.172326165	ZP2
ZP1	0.022511658	Bulk (unadjusted)	0.141408122	0.104944781	Cell contribution (adjusted)	-0.259626309	ZP1
ZNRF4	0.027827927	Bulk (unadjusted)	-0.082750212	0.866474281	Cell contribution (adjusted)	-0.859708765	ZNRF4
ZNRF3	1.750683505	Bulk (unadjusted)	-1.720210392	2.199565077	Cell contribution (adjusted)	-0.849439693	ZNRF3
ZNRF2	1.221079575	Bulk (unadjusted)	0.621423546	1.347095086	Cell contribution (adjusted)	0.651035022	ZNRF2
ZNRF1	0.040347872	Bulk (unadjusted)	-0.201453203	0.059549646	Cell contribution (adjusted)	-0.187340055	ZNRF1
ZNRD1	3.363906691	Bulk (unadjusted)	1.079022313	0.97191307	Cell contribution (adjusted)	0.599471617	ZNRD1
ZNHIT6	0.343895173	Bulk (unadjusted)	-0.653447136	0.209920746	Cell contribution (adjusted)	0.202214709	ZNHIT6
ZNHIT3	0.09564847	Bulk (unadjusted)	0.246036514	1.780127353	Cell contribution (adjusted)	0.757441329	ZNHIT3
ZNHIT2	0.137376256	Bulk (unadjusted)	-0.298636723	0.704318358	Cell contribution (adjusted)	-0.611588375	ZNHIT2
ZNHIT1	1.644635558	Bulk (unadjusted)	0.730382001	1.386266771	Cell contribution (adjusted)	0.657912154	ZNHIT1
ZNFX1	1.257124011	Bulk (unadjusted)	0.632878739	0.602045899	Cell contribution (adjusted)	0.401687259	ZNFX1
ZNF891	1.099426723	Bulk (unadjusted)	-0.60696199	0.557718854	Cell contribution (adjusted)	-0.384243563	ZNF891
ZNF883	0.335659794	Bulk (unadjusted)	0.499955597	0.195685844	Cell contribution (adjusted)	0.438997141	ZNF883
ZNF880	0.66759724	Bulk (unadjusted)	-0.943029428	0.083801826	Cell contribution (adjusted)	-0.099039996	ZNF880
ZNF879	0.108818797	Bulk (unadjusted)	0.141230689	0.71765054	Cell contribution (adjusted)	0.44816886	ZNF879
ZNF878	0.913494449	Bulk (unadjusted)	0.665711194	0.435825242	Cell contribution (adjusted)	0.413415767	ZNF878
ZNF865	0.213229334	Bulk (unadjusted)	-0.629352142	1.933056257	Cell contribution (adjusted)	-1.151546652	ZNF865
ZNF862	0.022419961	Bulk (unadjusted)	-0.108564519	0.366387111	Cell contribution (adjusted)	-0.521213416	ZNF862
ZNF860	1.028862165	Bulk (unadjusted)	0.711621595	0.142498795	Cell contribution (adjusted)	0.18935416	ZNF860
ZNF853	2.460651739	Bulk (unadjusted)	-1.253894703	2.014461719	Cell contribution (adjusted)	-1.211447657	ZNF853
ZNF852	0.085434792	Bulk (unadjusted)	-0.157738644	0.301942615	Cell contribution (adjusted)	-0.45974808	ZNF852
ZNF850	0.143221255	Bulk (unadjusted)	-0.216419239	0.31593709	Cell contribution (adjusted)	0.268073115	ZNF850
ZNF846	0.076323675	Bulk (unadjusted)	0.321870614	0.130925456	Cell contribution (adjusted)	0.42923617	ZNF846
ZNF845	7.040748469	Bulk (unadjusted)	2.307618158	6.055618018	Cell contribution (adjusted)	2.141023242	ZNF845
ZNF844	0.693811992	Bulk (unadjusted)	-0.455501026	0.368484965	Cell contribution (adjusted)	-0.512100426	ZNF844
ZNF843	0.481839295	Bulk (unadjusted)	-0.560430586	3.095614218	Cell contribution (adjusted)	-1.043458463	ZNF843
ZNF841	0.255397455	Bulk (unadjusted)	0.31767921	0.219062181	Cell contribution (adjusted)	0.260017577	ZNF841
ZNF839	0.297558925	Bulk (unadjusted)	-0.461504357	1.713750757	Cell contribution (adjusted)	-1.102677916	ZNF839
ZNF837	0.041665812	Bulk (unadjusted)	-0.201461697	0.047082377	Cell contribution (adjusted)	-0.149921714	ZNF837
ZNF836	0.07503139	Bulk (unadjusted)	-0.142738892	0.138734561	Cell contribution (adjusted)	-0.148911921	ZNF836
ZNF835	0.198590855	Bulk (unadjusted)	-0.458713704	0.037267593	Cell contribution (adjusted)	0.136453748	ZNF835
ZNF831	0.490682369	Bulk (unadjusted)	0.615547512	0.110496253	Cell contribution (adjusted)	0.230263438	ZNF831
ZNF830	0.001655002	Bulk (unadjusted)	0.010999085	0.007203207	Cell contribution (adjusted)	-0.034998482	ZNF830
ZNF829	0.612661662	Bulk (unadjusted)	-0.424040624	0.057433775	Cell contribution (adjusted)	-0.073120567	ZNF829
ZNF827	0.044662638	Bulk (unadjusted)	0.12729998	0.092395443	Cell contribution (adjusted)	-0.409435177	ZNF827
ZNF823	0.334375343	Bulk (unadjusted)	-1.054399951	0.007770802	Cell contribution (adjusted)	0.031302139	ZNF823
ZNF821	1.034022234	Bulk (unadjusted)	-0.566714355	1.431923011	Cell contribution (adjusted)	-1.093245085	ZNF821
ZNF816-ZNF321P	0.686462267	Bulk (unadjusted)	-0.567322732	0.609862611	Cell contribution (adjusted)	-0.50884076	ZNF816-ZNF321P
ZNF816	1.957610298	Bulk (unadjusted)	0.801787061	1.234532688	Cell contribution (adjusted)	1.014466442	ZNF816
ZNF814	0.024828718	Bulk (unadjusted)	-0.103887728	0.064354364	Cell contribution (adjusted)	-0.197335949	ZNF814
ZNF813	0.224229781	Bulk (unadjusted)	0.291839143	0.533537008	Cell contribution (adjusted)	0.468214882	ZNF813
ZNF808	0.031992001	Bulk (unadjusted)	-0.099310081	0.754394541	Cell contribution (adjusted)	-0.460701815	ZNF808
ZNF805	0.030929336	Bulk (unadjusted)	0.097732204	0.306738392	Cell contribution (adjusted)	0.640638466	ZNF805
ZNF804B	0.304066235	Bulk (unadjusted)	-0.49373827	0.004056434	Cell contribution (adjusted)	0.02056207	ZNF804B
ZNF804A	1.925837476	Bulk (unadjusted)	0.795280602	1.548807863	Cell contribution (adjusted)	0.697888078	ZNF804A
ZNF800	0.542530773	Bulk (unadjusted)	0.811200824	0.007675021	Cell contribution (adjusted)	0.042066574	ZNF800
ZNF799	0.003622051	Bulk (unadjusted)	0.010910059	0.19348253	Cell contribution (adjusted)	0.237451861	ZNF799
ZNF793	0.830470786	Bulk (unadjusted)	-0.500607729	0.717662556	Cell contribution (adjusted)	-1.028025272	ZNF793
ZNF792	0.682257908	Bulk (unadjusted)	0.765494224	1.215418561	Cell contribution (adjusted)	0.73455479	ZNF792
ZNF791	0.175446364	Bulk (unadjusted)	0.249054923	0.060047376	Cell contribution (adjusted)	-0.095473323	ZNF791
ZNF790	6.33362455	Bulk (unadjusted)	-2.121325562	4.495626319	Cell contribution (adjusted)	-1.702199305	ZNF790
ZNF789	4.651724286	Bulk (unadjusted)	-1.310747709	4.79917399	Cell contribution (adjusted)	-1.375566989	ZNF789
ZNF787	0.002376754	Bulk (unadjusted)	0.00946101	1.922678734	Cell contribution (adjusted)	-0.787219502	ZNF787
